question_id,question_title,question_detail,tag_ids
0,为什么有的孩子就比同龄的孩子机灵，知道该讨好谁，知道谁比较好说话啊？还知道怎样做不会惹老师生气？,小学的孩子，知道看眉眼高低，懂得老师生气的时候就尽量躲着点？问过家长在家有没有特别教过，家长说没有，我就好奇，我上大学的时候都不懂得怎样让自己少吃亏，不会看眉眼高低，这孩子这么小就会！,967|8922|240|396
1,怎么看待男朋友说玩游戏顺手带妹？,跟男朋友谈了一年左右，刚开始知道他喜欢玩游戏，他说他不带妹，后来暑假刚开始，他疯狂的泡在游戏里，天天带妹，后来喜欢上了玩狼人杀，也是疯狂带妹，问他为什么，他说在一起玩游戏就顺手带了，反正玩的也是一款游戏。但是他现在只顾带妹，我让他减少带妹的时间多陪我一会，他问我陪我跟带妹有什么关系，还因为这件事要跟我闹分手。,69|109
2,武林人士退隐江湖之后会过着怎样的生活？,欢迎各种脑洞~,35|211|230|61|1157
3,“一见倾心，再见依然。”这个句子的唯美英文翻译？求大神解答！,,475|15392|2163
4,如何看待加拿大国际数学奥林匹克竞赛团队都是华人？, ,6803|446|3216|4079|930
5,發生在凌晨便利店有趣難忘的故事？,深夜的便利店是個有趣的載體，很多故事和緣都可以在那一刻發生。那麼，可以告訴我，你們曾在凌晨的便利店發生的故事嗎？或者是你對深夜便利店的任何奇思妙想呢？一直覺得這是個很有趣的話題，答主隨意回答，謝謝合十。  陸續幾天，已收集到這麼多有趣有靈魂的答案，謝謝大家。希望答主們不介意我將各位的文字轉載到微信公眾帳號上，會寫明出處，感恩。,99|9|440|7266|4383
6,支付宝 9.0 改版背后的产品逻辑和战略布局是什么？,支付宝 9.0，这次主要有两个大的改动，一个是社交，另一块的 O2O。 如何看待这次支付宝的变动及其发展前景？,112|10|1|324
7,阿尔萨斯回来的时候没有人发现异样吗？,阿尔萨斯发生了很明显的黑化啊，请大家回答时候不要抖机灵。,5633|8236|1226|2190
8,如何评价日本声优福山润？,,3075|103|97|1325|19
9,如何评价田浩的新书《无夜边境》？,  该书已由湖南文艺出版社在2015年8月出版上市。,13503|13019|35|141
10,看了非正式会谈三季，大家不觉得大左真心讨厌华波波吗？,刚才在b站也看了一个视频http://www.bilibili.com/video/av11592671 觉得华波波真的被人嫌弃了,8857